Feature,DecisionTree_Importance,GradientBoosted_Importance,RandomForest_Importance
tenure,0.8956260669376407,0.423301158900238,0.18348485145219628
charges_per_tenure,0.0,0.19685671073085886,0.13152396669956978
TotalCharges,0.05212730994738886,0.16473000888548078,0.1372142548225277
MonthlyCharges,0.0,0.08011807828004418,0.08000546259151904
Partner_Yes,0.0,0.022873489991224842,0.018733352842053706
has_partner_and_dependents,0.029043254829418982,0.01826065312059989,0.015989841228312453
services_count,0.0,0.015893014630875345,0.02822232117754034
PaymentMethod_Electronic check,0.023203368285551397,0.008892807148776074,0.013312489399830601
InternetService_No,0.0,0.00794822659867616,0.00512292791948361
PaymentMethod_Credit card (automatic),0.0,0.007939670711209015,0.006685714224850792
PaperlessBilling_Yes,0.0,0.006306757879979463,0.012847351631535208
InternetService_Fiber optic,0.0,0.00601877174474893,0.008568269768433645
is_long_tenure,0.0,0.005791811451149636,0.07686622296649351
MultipleLines_Yes,0.0,0.0056824360794481615,0.010046089608169476
PaymentMethod_Mailed check,0.0,0.0056742562227962085,0.005290074660311609
tenure_group_25-48m,0.0,0.004665569737999241,0.020177599235097158
StreamingMovies_Yes,0.0,0.004481101382858785,0.008815269912365798
gender_Male,0.0,0.003930616153298964,0.011096808527888892
is_month_to_month,0.0,0.002609636477621428,0.0678011799027169
StreamingTV_Yes,0.0,0.0023802741400100074,0.009295012670368709
Dependents_Yes,0.0,0.0015482375103346678,0.012707009059840601
SeniorCitizen,0.0,0.0010279877262206727,0.00022059155218843944
Contract_One year,0.0,0.0009570023481316162,0.010939387828129908
tenure_group_72m+,0.0,0.0007929490094627353,0.002192286003387936
tenure_group_7-12m,0.0,0.0007051140511125605,0.004423153295445905
Contract_Two year,0.0,0.0006136590868438245,0.03011693221300671
is_new_customer,0.0,0.0,0.056111910220611017
OnlineSecurity_Yes,0.0,0.0,0.005213744815485235
TechSupport_Yes,0.0,0.0,0.004518023235861244
DeviceProtection_Yes,0.0,0.0,0.004717382635676199
OnlineBackup_Yes,0.0,0.0,0.0033633644010238363
tenure_group_13-24m,0.0,0.0,0.009167097481644392
tenure_group_49-72m,0.0,0.0,0.005210056016433388
